LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
NOR,TRUSTGOV,TOT,PC,A,2019,59.79870063,
NOR,TRUSTGOV,TOT,PC,A,2020,82.92342108,
NOR,TRUSTGOV,TOT,PC,A,2021,77.35231978,
NOR,TRUSTGOV,TOT,PC,A,2022,63.6077672,
POL,TRUSTGOV,TOT,PC,A,2006,6.876873765,
POL,TRUSTGOV,TOT,PC,A,2007,18.78834774,
POL,TRUSTGOV,TOT,PC,A,2008,28.451151,
POL,TRUSTGOV,TOT,PC,A,2009,31.19958806,
POL,TRUSTGOV,TOT,PC,A,2010,35.56062368,
POL,TRUSTGOV,TOT,PC,A,2011,27.23761715,
POL,TRUSTGOV,TOT,PC,A,2012,26.86287528,
POL,TRUSTGOV,TOT,PC,A,2013,16.35881353,
POL,TRUSTGOV,TOT,PC,A,2014,25.25228452,
POL,TRUSTGOV,TOT,PC,A,2015,21.14279173,
POL,TRUSTGOV,TOT,PC,A,2016,38.27131909,
POL,TRUSTGOV,TOT,PC,A,2017,50.2480449,
POL,TRUSTGOV,TOT,PC,A,2018,42.75177053,
POL,TRUSTGOV,TOT,PC,A,2019,49.79860284,
POL,TRUSTGOV,TOT,PC,A,2020,27.31166103,
POL,TRUSTGOV,TOT,PC,A,2021,25.92516514,
POL,TRUSTGOV,TOT,PC,A,2022,34.16071519,
PRT,TRUSTGOV,TOT,PC,A,2006,45.24167987,
PRT,TRUSTGOV,TOT,PC,A,2008,33.99168025,
PRT,TRUSTGOV,TOT,PC,A,2009,28.17449674,
PRT,TRUSTGOV,TOT,PC,A,2010,24.48310413,
PRT,TRUSTGOV,TOT,PC,A,2011,20.99764491,
PRT,TRUSTGOV,TOT,PC,A,2012,23.06251582,
PRT,TRUSTGOV,TOT,PC,A,2013,17.92133975,
PRT,TRUSTGOV,TOT,PC,A,2014,22.7394462,
PRT,TRUSTGOV,TOT,PC,A,2015,21.77421987,
PRT,TRUSTGOV,TOT,PC,A,2016,35.4542411,
PRT,TRUSTGOV,TOT,PC,A,2017,50.10881528,
PRT,TRUSTGOV,TOT,PC,A,2018,52.06306616,
PRT,TRUSTGOV,TOT,PC,A,2019,43.56050038,
PRT,TRUSTGOV,TOT,PC,A,2020,61.46694172,
PRT,TRUSTGOV,TOT,PC,A,2021,57.6186412,
PRT,TRUSTGOV,TOT,PC,A,2022,58.92422646,
SVK,TRUSTGOV,TOT,PC,A,2006,16.30792389,
SVK,TRUSTGOV,TOT,PC,A,2010,30.86795325,
SVK,TRUSTGOV,TOT,PC,A,2011,27.87238997,
SVK,TRUSTGOV,TOT,PC,A,2012,36.83801701,
SVK,TRUSTGOV,TOT,PC,A,2013,28.34932292,
SVK,TRUSTGOV,TOT,PC,A,2014,31.01814847,
SVK,TRUSTGOV,TOT,PC,A,2015,27.65306708,
SVK,TRUSTGOV,TOT,PC,A,2016,37.22221442,
SVK,TRUSTGOV,TOT,PC,A,2017,34.16800883,
SVK,TRUSTGOV,TOT,PC,A,2018,32.76586106,
SVK,TRUSTGOV,TOT,PC,A,2019,23.09728328,
SVK,TRUSTGOV,TOT,PC,A,2020,30.7444519,
SVK,TRUSTGOV,TOT,PC,A,2021,21.58075815,
ESP,TRUSTGOV,TOT,PC,A,2006,52.78457408,
ESP,TRUSTGOV,TOT,PC,A,2007,47.6248929,
ESP,TRUSTGOV,TOT,PC,A,2008,57.97604346,
ESP,TRUSTGOV,TOT,PC,A,2009,42.43620479,
ESP,TRUSTGOV,TOT,PC,A,2010,30.27315905,
ESP,TRUSTGOV,TOT,PC,A,2011,30.86627226,
ESP,TRUSTGOV,TOT,PC,A,2012,33.91465402,
ESP,TRUSTGOV,TOT,PC,A,2013,18.45496612,
ESP,TRUSTGOV,TOT,PC,A,2014,21.06198134,
ESP,TRUSTGOV,TOT,PC,A,2015,27.77513276,
ESP,TRUSTGOV,TOT,PC,A,2016,30.25166703,
ESP,TRUSTGOV,TOT,PC,A,2017,26.958596,
ESP,TRUSTGOV,TOT,PC,A,2018,28.51956254,
ESP,TRUSTGOV,TOT,PC,A,2019,36.77858646,
ESP,TRUSTGOV,TOT,PC,A,2020,38.17671009,
ESP,TRUSTGOV,TOT,PC,A,2021,37.17038148,
SWE,TRUSTGOV,TOT,PC,A,2006,44.08485623,
SWE,TRUSTGOV,TOT,PC,A,2007,56.20640542,
SWE,TRUSTGOV,TOT,PC,A,2008,51.7427458,
SWE,TRUSTGOV,TOT,PC,A,2009,59.03376248,
SWE,TRUSTGOV,TOT,PC,A,2010,60.28512342,
SWE,TRUSTGOV,TOT,PC,A,2011,63.8707521,
SWE,TRUSTGOV,TOT,PC,A,2012,62.64972338,
SWE,TRUSTGOV,TOT,PC,A,2013,57.98550545,
SWE,TRUSTGOV,TOT,PC,A,2014,56.32720639,
SWE,TRUSTGOV,TOT,PC,A,2015,49.93020278,
SWE,TRUSTGOV,TOT,PC,A,2016,48.57913233,
SWE,TRUSTGOV,TOT,PC,A,2017,55.94619711,
SWE,TRUSTGOV,TOT,PC,A,2018,49.43962459,
SWE,TRUSTGOV,TOT,PC,A,2019,51.32817543,
SWE,TRUSTGOV,TOT,PC,A,2020,67.10786475,
SWE,TRUSTGOV,TOT,PC,A,2021,63.35360826,
SWE,TRUSTGOV,TOT,PC,A,2022,68.78630336,
CHE,TRUSTGOV,TOT,PC,A,2006,63.15935271,
CHE,TRUSTGOV,TOT,PC,A,2009,57.79884854,
CHE,TRUSTGOV,TOT,PC,A,2012,76.99401877,
CHE,TRUSTGOV,TOT,PC,A,2014,75.16313013,
CHE,TRUSTGOV,TOT,PC,A,2015,78.77300093,
CHE,TRUSTGOV,TOT,PC,A,2016,79.85367032,
CHE,TRUSTGOV,TOT,PC,A,2017,81.9706763,
CHE,TRUSTGOV,TOT,PC,A,2018,84.99794672,
CHE,TRUSTGOV,TOT,PC,A,2019,80.6612709,
CHE,TRUSTGOV,TOT,PC,A,2020,84.63307074,
CHE,TRUSTGOV,TOT,PC,A,2021,83.7848093,
TUR,TRUSTGOV,TOT,PC,A,2006,59.577364,
TUR,TRUSTGOV,TOT,PC,A,2007,55.78778398,
TUR,TRUSTGOV,TOT,PC,A,2008,59.76229946,
TUR,TRUSTGOV,TOT,PC,A,2010,54.5994287,
TUR,TRUSTGOV,TOT,PC,A,2011,59.62018162,
TUR,TRUSTGOV,TOT,PC,A,2012,53.09996789,
TUR,TRUSTGOV,TOT,PC,A,2013,53.83117835,
TUR,TRUSTGOV,TOT,PC,A,2014,55.64782959,
TUR,TRUSTGOV,TOT,PC,A,2015,48.60846405,
TUR,TRUSTGOV,TOT,PC,A,2016,58.37282299,
TUR,TRUSTGOV,TOT,PC,A,2017,58.61612386,
TUR,TRUSTGOV,TOT,PC,A,2018,51.36770545,
TUR,TRUSTGOV,TOT,PC,A,2019,56.12609072,
TUR,TRUSTGOV,TOT,PC,A,2020,55.32621591,
TUR,TRUSTGOV,TOT,PC,A,2021,42.60143695,
GBR,TRUSTGOV,TOT,PC,A,2006,49.47495658,
GBR,TRUSTGOV,TOT,PC,A,2007,36.36376452,
GBR,TRUSTGOV,TOT,PC,A,2008,32.41657342,
GBR,TRUSTGOV,TOT,PC,A,2009,38.40665597,
GBR,TRUSTGOV,TOT,PC,A,2010,50.35112367,
GBR,TRUSTGOV,TOT,PC,A,2011,46.78900203,
GBR,TRUSTGOV,TOT,PC,A,2012,42.12621718,
GBR,TRUSTGOV,TOT,PC,A,2013,37.92316332,
GBR,TRUSTGOV,TOT,PC,A,2014,42.2672083,
GBR,TRUSTGOV,TOT,PC,A,2015,45.68117001,
GBR,TRUSTGOV,TOT,PC,A,2016,40.86320654,
GBR,TRUSTGOV,TOT,PC,A,2017,44.01208403,
GBR,TRUSTGOV,TOT,PC,A,2018,42.08598609,
GBR,TRUSTGOV,TOT,PC,A,2019,34.08288625,
GBR,TRUSTGOV,TOT,PC,A,2020,34.69728444,
GBR,TRUSTGOV,TOT,PC,A,2021,39.47539879,
USA,TRUSTGOV,TOT,PC,A,2006,55.80288463,
USA,TRUSTGOV,TOT,PC,A,2007,39.32454572,
USA,TRUSTGOV,TOT,PC,A,2008,37.92206006,
USA,TRUSTGOV,TOT,PC,A,2009,50.30473143,
USA,TRUSTGOV,TOT,PC,A,2010,41.82758222,
USA,TRUSTGOV,TOT,PC,A,2011,38.25315979,
USA,TRUSTGOV,TOT,PC,A,2012,34.88556076,
USA,TRUSTGOV,TOT,PC,A,2013,28.86474991,
USA,TRUSTGOV,TOT,PC,A,2014,34.86712004,
USA,TRUSTGOV,TOT,PC,A,2015,34.69364628,
USA,TRUSTGOV,TOT,PC,A,2016,29.72056612,
USA,TRUSTGOV,TOT,PC,A,2017,38.65350168,
USA,TRUSTGOV,TOT,PC,A,2018,31.38160892,
USA,TRUSTGOV,TOT,PC,A,2019,36.27744401,
USA,TRUSTGOV,TOT,PC,A,2020,46.49170905,
USA,TRUSTGOV,TOT,PC,A,2021,40.46252204,
USA,TRUSTGOV,TOT,PC,A,2022,31.02415552,
BRA,TRUSTGOV,TOT,PC,A,2006,34.06247401,
BRA,TRUSTGOV,TOT,PC,A,2007,38.34596013,
BRA,TRUSTGOV,TOT,PC,A,2008,51.10100576,
BRA,TRUSTGOV,TOT,PC,A,2009,42.71785381,
BRA,TRUSTGOV,TOT,PC,A,2010,51.12666365,
BRA,TRUSTGOV,TOT,PC,A,2011,50.28913817,
BRA,TRUSTGOV,TOT,PC,A,2012,45.59347248,
BRA,TRUSTGOV,TOT,PC,A,2013,33.37258,
BRA,TRUSTGOV,TOT,PC,A,2014,35.52286873,
BRA,TRUSTGOV,TOT,PC,A,2015,19.85347826,
BRA,TRUSTGOV,TOT,PC,A,2016,26.41402573,
BRA,TRUSTGOV,TOT,PC,A,2017,16.54902662,
BRA,TRUSTGOV,TOT,PC,A,2018,16.81866526,
BRA,TRUSTGOV,TOT,PC,A,2019,34.08500873,
BRA,TRUSTGOV,TOT,PC,A,2020,36.22924008,
BRA,TRUSTGOV,TOT,PC,A,2021,32.70992839,
BRA,TRUSTGOV,TOT,PC,A,2022,39.16334315,
CHL,TRUSTGOV,TOT,PC,A,2006,58.10122784,
CHL,TRUSTGOV,TOT,PC,A,2007,42.64205454,
CHL,TRUSTGOV,TOT,PC,A,2008,40.52524602,
CHL,TRUSTGOV,TOT,PC,A,2009,57.52842946,
CHL,TRUSTGOV,TOT,PC,A,2010,47.87056126,
CHL,TRUSTGOV,TOT,PC,A,2011,32.28673432,
CHL,TRUSTGOV,TOT,PC,A,2012,34.32677853,
CHL,TRUSTGOV,TOT,PC,A,2013,30.72685008,
CHL,TRUSTGOV,TOT,PC,A,2014,39.95300126,
CHL,TRUSTGOV,TOT,PC,A,2015,30.04925327,
CHL,TRUSTGOV,TOT,PC,A,2016,20.35388648,
CHL,TRUSTGOV,TOT,PC,A,2017,26.82833161,
CHL,TRUSTGOV,TOT,PC,A,2018,33.47441676,
CHL,TRUSTGOV,TOT,PC,A,2019,15.25234503,
CHL,TRUSTGOV,TOT,PC,A,2020,17.14637883,
CHL,TRUSTGOV,TOT,PC,A,2021,23.21448042,
CHL,TRUSTGOV,TOT,PC,A,2022,28.72417848,
COL,TRUSTGOV,TOT,PC,A,2006,48.08810327,
COL,TRUSTGOV,TOT,PC,A,2007,51.24720587,
COL,TRUSTGOV,TOT,PC,A,2008,63.5107467,
COL,TRUSTGOV,TOT,PC,A,2009,44.04582186,
COL,TRUSTGOV,TOT,PC,A,2010,55.17494155,
COL,TRUSTGOV,TOT,PC,A,2011,44.56318938,
COL,TRUSTGOV,TOT,PC,A,2012,35.738287,
COL,TRUSTGOV,TOT,PC,A,2013,29.27083078,
COL,TRUSTGOV,TOT,PC,A,2014,29.83724991,
COL,TRUSTGOV,TOT,PC,A,2015,27.1786738,
COL,TRUSTGOV,TOT,PC,A,2016,26.12511952,
COL,TRUSTGOV,TOT,PC,A,2017,22.18825956,
COL,TRUSTGOV,TOT,PC,A,2018,27.48694966,
COL,TRUSTGOV,TOT,PC,A,2019,32.79810987,
COL,TRUSTGOV,TOT,PC,A,2020,37.36343834,
COL,TRUSTGOV,TOT,PC,A,2021,28.91488974,
COL,TRUSTGOV,TOT,PC,A,2022,29.68250793,
CRI,TRUSTGOV,TOT,PC,A,2006,37.88603955,
CRI,TRUSTGOV,TOT,PC,A,2007,44.5800396,
CRI,TRUSTGOV,TOT,PC,A,2008,36.07809301,
CRI,TRUSTGOV,TOT,PC,A,2009,52.13500842,
CRI,TRUSTGOV,TOT,PC,A,2010,53.25385898,
CRI,TRUSTGOV,TOT,PC,A,2011,32.25330106,
CRI,TRUSTGOV,TOT,PC,A,2012,28.00748038,
CRI,TRUSTGOV,TOT,PC,A,2013,26.21936981,
CRI,TRUSTGOV,TOT,PC,A,2014,40.44529191,
CRI,TRUSTGOV,TOT,PC,A,2015,26.11692477,
CRI,TRUSTGOV,TOT,PC,A,2016,27.90275737,
CRI,TRUSTGOV,TOT,PC,A,2017,40.74484544,
CRI,TRUSTGOV,TOT,PC,A,2018,47.99777875,
CRI,TRUSTGOV,TOT,PC,A,2019,28.30238518,
CRI,TRUSTGOV,TOT,PC,A,2020,29.82305644,
CRI,TRUSTGOV,TOT,PC,A,2021,31.53083242,
CRI,TRUSTGOV,TOT,PC,A,2022,60.01274798,
EST,TRUSTGOV,TOT,PC,A,2006,44.24676909,
EST,TRUSTGOV,TOT,PC,A,2007,42.02641155,
EST,TRUSTGOV,TOT,PC,A,2008,33.09790032,
EST,TRUSTGOV,TOT,PC,A,2009,22.44861318,
EST,TRUSTGOV,TOT,PC,A,2011,41.754021,
EST,TRUSTGOV,TOT,PC,A,2012,27.29759427,
EST,TRUSTGOV,TOT,PC,A,2013,26.06375703,
EST,TRUSTGOV,TOT,PC,A,2014,41.49858852,
EST,TRUSTGOV,TOT,PC,A,2015,33.66897898,
EST,TRUSTGOV,TOT,PC,A,2016,33.98342922,
EST,TRUSTGOV,TOT,PC,A,2017,40.59462528,
EST,TRUSTGOV,TOT,PC,A,2018,42.0202571,
EST,TRUSTGOV,TOT,PC,A,2019,40.33065368,
EST,TRUSTGOV,TOT,PC,A,2020,46.48059768,
EST,TRUSTGOV,TOT,PC,A,2021,51.92639922,
EST,TRUSTGOV,TOT,PC,A,2022,50.84958594,
ISR,TRUSTGOV,TOT,PC,A,2006,34.17975613,
ISR,TRUSTGOV,TOT,PC,A,2007,21.78032427,
ISR,TRUSTGOV,TOT,PC,A,2008,18.44015531,
ISR,TRUSTGOV,TOT,PC,A,2009,40.41658166,
ISR,TRUSTGOV,TOT,PC,A,2010,44.89317017,
ISR,TRUSTGOV,TOT,PC,A,2011,27.10905334,
ISR,TRUSTGOV,TOT,PC,A,2012,34.35697559,
ISR,TRUSTGOV,TOT,PC,A,2013,45.13020522,
ISR,TRUSTGOV,TOT,PC,A,2014,44.3641848,
ISR,TRUSTGOV,TOT,PC,A,2015,40.53432259,
ISR,TRUSTGOV,TOT,PC,A,2016,43.81331691,
ISR,TRUSTGOV,TOT,PC,A,2017,38.93681556,
ISR,TRUSTGOV,TOT,PC,A,2018,42.23297305,
ISR,TRUSTGOV,TOT,PC,A,2019,49.56669122,
ISR,TRUSTGOV,TOT,PC,A,2020,38.89385207,
ISR,TRUSTGOV,TOT,PC,A,2021,43.95946815,
LVA,TRUSTGOV,TOT,PC,A,2006,29.14894002,
LVA,TRUSTGOV,TOT,PC,A,2007,28.0693011,
LVA,TRUSTGOV,TOT,PC,A,2008,19.07576629,
LVA,TRUSTGOV,TOT,PC,A,2009,9.994441551,
LVA,TRUSTGOV,TOT,PC,A,2011,10.72373354,
LVA,TRUSTGOV,TOT,PC,A,2012,19.12198127,
LVA,TRUSTGOV,TOT,PC,A,2013,23.37996667,
LVA,TRUSTGOV,TOT,PC,A,2014,22.90447279,
LVA,TRUSTGOV,TOT,PC,A,2015,29.89121001,
LVA,TRUSTGOV,TOT,PC,A,2016,31.52612941,
LVA,TRUSTGOV,TOT,PC,A,2017,26.40004996,
LVA,TRUSTGOV,TOT,PC,A,2018,19.71622976,
LVA,TRUSTGOV,TOT,PC,A,2019,23.94076681,
LVA,TRUSTGOV,TOT,PC,A,2020,30.67890625,
LVA,TRUSTGOV,TOT,PC,A,2021,29.46024078,
LTU,TRUSTGOV,TOT,PC,A,2006,20.56023666,
LTU,TRUSTGOV,TOT,PC,A,2007,26.92929987,
LTU,TRUSTGOV,TOT,PC,A,2008,16.11058434,
LTU,TRUSTGOV,TOT,PC,A,2009,12.61422291,
LTU,TRUSTGOV,TOT,PC,A,2010,11.45032684,
LTU,TRUSTGOV,TOT,PC,A,2011,18.10865705,
LTU,TRUSTGOV,TOT,PC,A,2012,14.57295457,
LTU,TRUSTGOV,TOT,PC,A,2013,38.42382754,
LTU,TRUSTGOV,TOT,PC,A,2014,34.46571578,
LTU,TRUSTGOV,TOT,PC,A,2015,36.70345402,
LTU,TRUSTGOV,TOT,PC,A,2016,27.96385699,
LTU,TRUSTGOV,TOT,PC,A,2017,32.12472715,
LTU,TRUSTGOV,TOT,PC,A,2018,32.37580953,
LTU,TRUSTGOV,TOT,PC,A,2019,40.72484594,
LTU,TRUSTGOV,TOT,PC,A,2020,47.40453304,
LTU,TRUSTGOV,TOT,PC,A,2021,30.38304456,
RUS,TRUSTGOV,TOT,PC,A,2006,37.00398705,
RUS,TRUSTGOV,TOT,PC,A,2007,37.41158496,
RUS,TRUSTGOV,TOT,PC,A,2008,55.75502361,
RUS,TRUSTGOV,TOT,PC,A,2009,54.97654313,
RUS,TRUSTGOV,TOT,PC,A,2010,51.49948314,
RUS,TRUSTGOV,TOT,PC,A,2011,47.95745101,
RUS,TRUSTGOV,TOT,PC,A,2012,45.200172,
RUS,TRUSTGOV,TOT,PC,A,2013,38.83033819,
RUS,TRUSTGOV,TOT,PC,A,2014,64.01660269,
RUS,TRUSTGOV,TOT,PC,A,2015,64.92330929,
RUS,TRUSTGOV,TOT,PC,A,2016,58.43038013,
RUS,TRUSTGOV,TOT,PC,A,2017,55.65972258,
RUS,TRUSTGOV,TOT,PC,A,2018,45.58387542,
RUS,TRUSTGOV,TOT,PC,A,2019,43.69638396,
RUS,TRUSTGOV,TOT,PC,A,2020,47.7703668,
RUS,TRUSTGOV,TOT,PC,A,2021,45.69920853,
SVN,TRUSTGOV,TOT,PC,A,2006,47.76447658,
SVN,TRUSTGOV,TOT,PC,A,2009,36.80309549,
SVN,TRUSTGOV,TOT,PC,A,2010,33.19162989,
SVN,TRUSTGOV,TOT,PC,A,2011,18.15830425,
SVN,TRUSTGOV,TOT,PC,A,2012,23.80659905,
SVN,TRUSTGOV,TOT,PC,A,2013,16.34331863,
SVN,TRUSTGOV,TOT,PC,A,2014,17.68509984,
SVN,TRUSTGOV,TOT,PC,A,2015,20.26048204,
SVN,TRUSTGOV,TOT,PC,A,2016,24.98451056,
SVN,TRUSTGOV,TOT,PC,A,2017,23.97797238,
SVN,TRUSTGOV,TOT,PC,A,2018,23.92746357,
SVN,TRUSTGOV,TOT,PC,A,2019,39.71507149,
SVN,TRUSTGOV,TOT,PC,A,2020,45.29742342,
SVN,TRUSTGOV,TOT,PC,A,2021,33.92358148,
SVN,TRUSTGOV,TOT,PC,A,2022,45.07234999,
ZAF,TRUSTGOV,TOT,PC,A,2006,60.23371817,
ZAF,TRUSTGOV,TOT,PC,A,2007,65.90125087,
ZAF,TRUSTGOV,TOT,PC,A,2008,46.14423769,
ZAF,TRUSTGOV,TOT,PC,A,2009,52.24214893,
ZAF,TRUSTGOV,TOT,PC,A,2010,59.39644513,
ZAF,TRUSTGOV,TOT,PC,A,2011,62.74959239,
ZAF,TRUSTGOV,TOT,PC,A,2012,42.58774608,
ZAF,TRUSTGOV,TOT,PC,A,2013,51.03553421,
ZAF,TRUSTGOV,TOT,PC,A,2014,48.79976814,
ZAF,TRUSTGOV,TOT,PC,A,2015,58.3995686,
ZAF,TRUSTGOV,TOT,PC,A,2016,48.31222806,
ZAF,TRUSTGOV,TOT,PC,A,2017,42.32742159,
ZAF,TRUSTGOV,TOT,PC,A,2018,52.46858244,
ZAF,TRUSTGOV,TOT,PC,A,2019,49.59063199,
ZAF,TRUSTGOV,TOT,PC,A,2020,51.76066865,
ZAF,TRUSTGOV,TOT,PC,A,2021,50.89615052,
