,date,vader_prediction,sentiment,delta_close_price
0,2018-02-25,0.010649999999999993,neutral,7.1
1,2018-02-26,0.05579473684210525,positive,2.47
2,2018-02-27,-0.034722222222222224,neutral,0.83
3,2018-02-28,0.065192,positive,-1.57
4,2018-03-01,-0.015678260869565218,neutral,2.67
5,2018-03-02,0.0465047619047619,neutral,-0.33
6,2018-03-03,-0.035399999999999994,neutral,1.23
7,2018-03-04,0.055685000000000005,positive,0.47
8,2018-03-05,-0.03365652173913044,neutral,-0.9
9,2018-03-06,-0.10091578947368421,negative,-3.5
10,2018-03-07,-0.11500588235294117,negative,-5.53
11,2018-03-08,0.02447,neutral,-4.73
12,2018-03-09,-0.11936190476190475,negative,1.07
13,2018-03-10,-0.1909,negative,-3.87
14,2018-03-11,-0.06452916666666667,negative,4.4
15,2018-03-12,-0.03680952380952381,neutral,-2.6
16,2018-03-13,0.11746842105263158,positive,-0.27
17,2018-03-14,-0.045,neutral,-8.07
18,2018-03-15,0.013309523809523808,neutral,0.1
19,2018-03-16,0.07796842105263158,positive,-0.57
20,2018-03-17,0.06808333333333333,positive,-4.83
21,2018-03-18,-0.07078235294117648,negative,0.67
22,2018-03-19,0.019299999999999998,neutral,2.63
23,2018-03-20,-0.06298888888888889,negative,1.3
24,2018-03-21,-0.048135000000000004,neutral,0.03
25,2018-03-22,0.014910526315789473,neutral,-1.93
26,2018-03-23,0.08261111111111111,positive,1.03
27,2018-03-24,-0.05461111111111111,negative,-3.03
28,2018-03-25,0.03706153846153846,neutral,-0.07
29,2018-03-26,0.007804999999999995,neutral,-3.77
30,2018-03-27,-0.066212,negative,-4.33
31,2018-03-28,-0.043564,neutral,0.37
32,2018-03-29,-0.06737499999999999,negative,-9.37
33,2018-03-30,-0.11947500000000001,negative,-0.37
34,2018-03-31,0.151425,positive,0.47
35,2018-04-01,0.12140714285714285,positive,-1.9
36,2018-04-02,0.13667500000000002,positive,1.6
37,2018-04-03,-0.045131818181818176,neutral,4.13
38,2018-04-04,-0.01842857142857143,neutral,-6.33
39,2018-04-05,0.013131818181818189,neutral,0.2
40,2018-04-06,-0.09314090909090908,negative,-1.83
41,2018-04-07,0.1370909090909091,positive,2.63
42,2018-04-08,0.03476,neutral,1.87
43,2018-04-09,0.08509999999999998,positive,-1.37
44,2018-04-10,-0.012600000000000002,neutral,1.63
45,2018-04-11,-0.10184090909090909,negative,1.7
46,2018-04-12,-0.048088461538461545,neutral,8.4
47,2018-04-13,0.01013529411764705,neutral,-0.03
48,2018-04-14,-0.07985384615384614,negative,1.0
49,2018-04-15,0.07090909090909091,positive,3.37
50,2018-04-16,-0.03479565217391305,neutral,-2.7
51,2018-04-17,0.01891428571428571,neutral,-1.23
52,2018-04-18,-0.07698,negative,2.57
53,2018-04-19,-0.02245,neutral,2.87
54,2018-04-20,0.04007777777777778,neutral,4.9
55,2018-04-21,0.01465,neutral,-0.43
56,2018-04-22,0.1081142857142857,positive,0.4
57,2018-04-23,-0.046535999999999994,neutral,1.7
58,2018-04-24,-0.13710344827586207,negative,5.27
59,2018-04-25,0.05369230769230769,positive,-7.6
60,2018-04-26,0.09111599999999999,positive,3.7
61,2018-04-27,0.13867826086956522,positive,-2.2
62,2018-04-28,0.14412666666666665,positive,3.43
63,2018-04-29,0.009968421052631574,neutral,0.53
64,2018-04-30,0.010317391304347829,neutral,-1.5
65,2018-05-01,0.06395500000000001,positive,-0.67
66,2018-05-02,0.07075454545454546,positive,1.37
67,2018-05-03,0.04379130434782609,neutral,5.63
68,2018-05-04,0.06007142857142857,positive,0.2
69,2018-05-05,0.1323294117647059,positive,1.77
70,2018-05-06,-0.1443125,negative,-1.87
71,2018-05-07,0.09925238095238094,positive,-2.57
72,2018-05-08,0.13087777777777776,positive,-0.83
73,2018-05-09,0.13740999999999998,positive,0.6
74,2018-05-10,0.05001739130434782,positive,-2.3
75,2018-05-11,-0.11721428571428572,negative,-4.67
76,2018-05-12,0.0029058823529411765,neutral,0.57
77,2018-05-13,-0.061799999999999994,negative,2.9
78,2018-05-14,-0.04440500000000001,neutral,-0.17
79,2018-05-15,-0.01674545454545454,neutral,-1.83
80,2018-05-16,-0.09219545454545454,negative,-0.47
81,2018-05-17,0.014214999999999995,neutral,-3.1
82,2018-05-18,0.06259523809523809,positive,1.93
83,2018-05-19,0.09830588235294117,positive,0.03
84,2018-05-20,0.15306499999999998,positive,2.03
85,2018-05-21,0.084215,positive,-1.33
86,2018-05-22,0.18089545454545455,positive,-4.67
87,2018-05-23,0.008405263157894735,neutral,-5.8
88,2018-05-24,-0.020604761904761904,neutral,1.73
89,2018-05-25,0.15323000000000003,positive,-1.5
90,2018-05-26,0.05908888888888889,positive,-0.57
91,2018-05-27,0.13125217391304347,positive,-0.8
92,2018-05-28,-0.11752631578947369,negative,-4.9
93,2018-05-29,0.0852157894736842,positive,4.87
94,2018-05-30,-0.10958333333333332,negative,-0.97
95,2018-05-31,0.049447619047619046,neutral,1.87
96,2018-06-01,0.14040476190476192,positive,0.0
97,2018-06-02,0.131,positive,1.2
98,2018-06-03,-0.043546666666666664,neutral,1.83
99,2018-06-04,0.04653333333333333,neutral,-2.47
100,2018-06-05,0.02728333333333333,neutral,1.4
101,2018-06-06,0.17523333333333332,positive,0.1
102,2018-06-07,0.06925,positive,0.03
103,2018-06-08,0.09192399999999999,positive,-0.57
104,2018-06-09,0.046794444444444444,neutral,-0.83
105,2018-06-10,0.14659411764705885,positive,-7.97
106,2018-06-11,0.07381428571428572,positive,0.97
107,2018-06-12,0.11090526315789473,positive,-4.17
108,2018-06-13,0.10072222222222221,positive,-2.6
109,2018-06-14,0.012395833333333333,neutral,4.47
110,2018-06-15,0.07787142857142856,positive,-3.47
111,2018-06-16,0.0025764705882352977,neutral,1.13
112,2018-06-17,0.056411764705882356,positive,-0.27
113,2018-06-18,0.10131363636363636,positive,2.63
114,2018-06-19,0.14046190476190476,positive,1.43
115,2018-06-20,-0.031027272727272726,neutral,-0.03
116,2018-06-21,-0.015847619047619048,neutral,-0.87
117,2018-06-22,-0.08814615384615385,negative,-8.23
118,2018-06-23,0.06705333333333334,positive,1.5
119,2018-06-24,-0.09015000000000001,negative,-1.53
120,2018-06-25,-0.0025700000000000002,neutral,0.77
121,2018-06-26,0.11574500000000001,positive,-3.23
122,2018-06-27,-0.025725000000000005,neutral,1.2
123,2018-06-28,0.03265714285714286,neutral,-3.3
124,2018-06-29,-0.005223809523809517,neutral,3.07
125,2018-06-30,-0.09975384615384615,negative,2.3
126,2018-07-01,0.20523913043478262,positive,-0.33
127,2018-07-02,0.06065909090909091,positive,3.07
128,2018-07-03,-0.014505263157894738,neutral,-1.6
129,2018-07-04,-0.0032684210526315815,neutral,0.77
130,2018-07-05,0.13655263157894737,positive,-0.23
131,2018-07-06,-0.02251666666666667,neutral,0.53
132,2018-07-07,0.07618888888888889,positive,1.87
133,2018-07-08,-0.11873750000000002,negative,-0.27
134,2018-07-09,0.07073636363636364,positive,-1.17
135,2018-07-10,-0.034835,neutral,-4.93
136,2018-07-11,-0.053465000000000006,negative,1.37
137,2018-07-12,0.05749090909090908,positive,-1.87
138,2018-07-13,0.0691590909090909,positive,-0.03
139,2018-07-14,0.21506874999999998,positive,0.27
140,2018-07-15,-0.06571764705882353,negative,1.7
141,2018-07-16,0.24461052631578947,positive,3.87
142,2018-07-17,0.050704761904761905,positive,4.07
143,2018-07-18,-0.03937619047619047,neutral,-1.07
144,2018-07-19,0.09030952380952381,positive,-0.4
145,2018-07-20,0.07034583333333333,positive,-2.07
146,2018-07-21,0.021095238095238094,neutral,1.23
147,2018-07-22,0.12385882352941176,positive,-0.33
148,2018-07-23,0.17346842105263158,positive,0.8
149,2018-07-24,0.11086190476190476,positive,4.8
150,2018-07-25,-0.026332000000000005,neutral,-1.5
151,2018-07-26,-0.015404545454545449,neutral,-1.7
152,2018-07-27,-0.0890235294117647,negative,1.63
153,2018-07-28,-0.1189125,negative,0.07
154,2018-07-29,0.0020125000000000073,neutral,-0.23
155,2018-07-30,0.130505,positive,-0.87
156,2018-07-31,0.09416666666666668,positive,-3.8
157,2018-08-01,0.027641176470588242,neutral,-1.53
158,2018-08-02,0.17808518518518518,positive,-1.03
159,2018-08-03,-0.00524,neutral,0.03
160,2018-08-04,-0.026417647058823518,neutral,-2.8
161,2018-08-05,0.023584615384615374,neutral,0.17
162,2018-08-06,-0.08571666666666666,negative,-0.73
163,2018-08-07,0.10941481481481483,positive,-3.33
164,2018-08-08,0.160325,positive,-4.4
165,2018-08-09,0.019235000000000006,neutral,2.03
166,2018-08-10,-0.024823809523809522,neutral,-5.6
167,2018-08-11,-0.02004,neutral,-0.77
168,2018-08-12,0.24578,positive,0.43
169,2018-08-13,0.0009761904761904797,neutral,-4.33
170,2018-08-14,-0.090615,negative,-0.93
171,2018-08-15,0.016575,neutral,0.67
172,2018-08-16,-0.058404761904761904,negative,0.93
173,2018-08-17,0.028082352941176475,neutral,4.57
174,2018-08-18,0.039769230769230765,neutral,-3.47
175,2018-08-19,0.23375454545454544,positive,0.9
176,2018-08-20,0.06686363636363636,positive,-4.67
177,2018-08-21,-0.06377619047619047,negative,2.27
178,2018-08-22,-0.0055136363636363594,neutral,-1.9
179,2018-08-23,-0.11956842105263159,negative,1.47
180,2018-08-24,-0.03574375,neutral,1.43
181,2018-08-25,0.02549411764705882,neutral,-0.17
182,2018-08-26,-0.0092625,neutral,-0.53
183,2018-08-27,-0.012091304347826083,neutral,2.53
184,2018-08-28,-0.020654545454545453,neutral,1.63
185,2018-08-29,0.08399565217391303,positive,-0.97
186,2018-08-30,-0.05323043478260869,negative,-0.8
187,2018-08-31,-0.0838157894736842,negative,-0.13
188,2018-09-01,0.039127272727272726,neutral,2.37
189,2018-09-02,-0.1634263157894737,negative,0.47
190,2018-09-03,-0.04562,neutral,-0.77
191,2018-09-04,-0.031885,neutral,-0.1
192,2018-09-05,-0.06825263157894737,negative,-11.63
193,2018-09-06,0.036663157894736835,neutral,-0.7
194,2018-09-07,0.07201428571428571,positive,-2.83
195,2018-09-08,-0.014794736842105262,neutral,-4.2
196,2018-09-09,-0.0697,negative,0.03
197,2018-09-10,0.06277083333333333,positive,0.53
198,2018-09-11,-0.16277142857142857,negative,-2.4
199,2018-09-12,0.09343,positive,0.03
200,2018-09-13,0.017083333333333332,neutral,5.23
201,2018-09-14,0.2007,positive,0.1
202,2018-09-15,0.19158333333333336,positive,1.7
203,2018-09-16,0.09310869565217392,positive,-0.43
204,2018-09-17,0.05168333333333333,positive,-5.2
205,2018-09-18,-0.027723809523809522,neutral,2.33
206,2018-09-19,0.009478947368421054,neutral,0.37
207,2018-09-20,0.05764761904761905,positive,2.7
208,2018-09-21,-0.017952380952380952,neutral,4.47
209,2018-09-22,0.1132111111111111,positive,-1.23
210,2018-09-23,-0.038115384615384613,neutral,0.47
211,2018-09-24,0.04071904761904762,neutral,-2.93
212,2018-09-25,0.05862916666666668,positive,-2.0
213,2018-09-26,0.04621818181818182,neutral,-0.7
214,2018-09-27,0.04057,neutral,3.13
215,2018-09-28,-0.05164761904761904,negative,-1.37
216,2018-09-29,0.06605000000000001,positive,1.27
217,2018-09-30,0.1124,positive,0.07
218,2018-10-01,0.023038888888888883,neutral,-0.37
219,2018-10-02,0.11026,positive,-1.13
220,2018-10-03,0.017183333333333342,neutral,-1.03
221,2018-10-04,0.025641666666666663,neutral,0.67
222,2018-10-05,-0.025868000000000013,neutral,1.07
223,2018-10-06,0.05557857142857143,positive,-0.73
224,2018-10-07,-0.23787692307692307,negative,0.3
225,2018-10-08,0.14672222222222223,positive,0.57
226,2018-10-09,0.10124761904761904,positive,-0.27
227,2018-10-10,-0.01012631578947368,neutral,-0.7
228,2018-10-11,0.004295238095238095,neutral,-8.17
229,2018-10-12,-0.10927727272727271,negative,1.23
230,2018-10-13,-0.08600000000000001,negative,0.4
231,2018-10-14,0.06590000000000001,positive,-0.8
232,2018-10-15,-0.13151666666666667,negative,3.23
233,2018-10-16,-0.04523636363636364,neutral,0.23
234,2018-10-17,0.10816071428571429,positive,-0.47
235,2018-10-18,0.04772962962962963,neutral,-0.8
236,2018-10-19,-0.07996086956521739,negative,0.03
237,2018-10-20,0.04129166666666665,neutral,0.5
238,2018-10-21,0.019146153846153844,neutral,-0.07
239,2018-10-22,0.009979166666666671,neutral,-0.1
240,2018-10-23,0.033335,neutral,-0.17
241,2018-10-24,0.14531999999999998,positive,0.03
242,2018-10-25,-0.11250769230769232,negative,-0.17
243,2018-10-26,0.05107999999999999,positive,0.13
244,2018-10-27,0.16883529411764706,positive,0.27
245,2018-10-28,0.08114166666666667,positive,0.03
246,2018-10-29,0.018600000000000002,neutral,-2.0
247,2018-10-30,0.047813043478260875,neutral,0.13
248,2018-10-31,0.07326315789473684,positive,0.53
249,2018-11-01,0.05676842105263158,positive,0.23
250,2018-11-02,0.0018571428571428576,neutral,0.43
251,2018-11-03,0.07438571428571429,positive,-0.3
252,2018-11-04,-0.032100000000000004,neutral,2.27
253,2018-11-05,0.08322608695652174,positive,-0.43
254,2018-11-06,-0.03306666666666666,neutral,1.87
255,2018-11-07,0.10958636363636363,positive,-0.07
256,2018-11-08,0.07638095238095238,positive,-1.5
257,2018-11-09,0.07368095238095237,positive,-0.67
258,2018-11-10,-0.073075,negative,0.37
259,2018-11-11,0.019237500000000005,neutral,-0.03
260,2018-11-12,-0.009890000000000001,neutral,-0.27
261,2018-11-13,-0.10921666666666667,negative,-1.4
262,2018-11-14,0.04304782608695652,neutral,-8.5
263,2018-11-15,-0.165515,negative,-0.13
264,2018-11-16,-0.10602272727272727,negative,-1.5
265,2018-11-17,-0.02032941176470589,neutral,-0.1
266,2018-11-18,-0.09803636363636362,negative,1.0
267,2018-11-19,0.03565555555555555,neutral,-12.9
268,2018-11-20,0.031241666666666664,neutral,-7.6
269,2018-11-21,-0.022170000000000002,neutral,3.23
270,2018-11-22,0.077695,positive,-5.1
271,2018-11-23,-0.05391111111111111,negative,-0.5
272,2018-11-24,0.21251874999999998,positive,-7.77
273,2018-11-25,-0.1010625,negative,2.47
274,2018-11-26,-0.06037826086956521,negative,-4.1
275,2018-11-27,0.006495833333333328,neutral,0.87
276,2018-11-28,0.06543809523809524,positive,7.17
277,2018-11-29,0.16838999999999998,positive,-1.4
278,2018-11-30,0.0059900000000000005,neutral,-3.6
279,2018-12-01,0.08192105263157895,positive,2.83
280,2018-12-02,-0.09960833333333334,negative,-0.9
281,2018-12-03,0.08800909090909091,positive,-4.87
282,2018-12-04,-0.14412857142857144,negative,1.27
283,2018-12-05,-0.004776470588235297,neutral,-4.67
284,2018-12-06,-0.052095,negative,-6.8
285,2018-12-07,0.07148421052631579,positive,0.67
286,2018-12-08,0.050383333333333336,positive,-0.9
287,2018-12-09,0.12459999999999997,positive,2.33
288,2018-12-10,0.13662105263157892,positive,-2.4
289,2018-12-11,0.07136,positive,-1.53
290,2018-12-12,-0.009404347826086961,neutral,1.7
291,2018-12-13,-0.07401818181818182,negative,-3.27
292,2018-12-14,-0.03888181818181818,neutral,-1.73
293,2018-12-15,0.26422222222222225,positive,-0.13
294,2018-12-16,-0.09652,negative,0.43
295,2018-12-17,-0.0036111111111111096,neutral,6.43
296,2018-12-18,-0.013404761904761905,neutral,4.0
297,2018-12-19,0.01712631578947369,neutral,-0.57
298,2018-12-20,-0.105765,negative,7.77
299,2018-12-21,-0.00911428571428571,neutral,-4.17
300,2018-12-22,0.2044,positive,3.53
301,2018-12-23,-0.03902941176470588,neutral,3.23
302,2018-12-24,-0.04917777777777778,neutral,2.93
303,2018-12-25,0.1364,positive,-4.8
304,2018-12-26,0.12601428571428572,positive,0.6
305,2018-12-27,-0.13172631578947366,negative,-6.77
306,2018-12-28,-0.100795,negative,8.1
307,2018-12-29,-0.03617222222222222,neutral,-2.2
308,2018-12-30,0.045191666666666665,neutral,1.87
309,2018-12-31,0.06584137931034484,positive,-3.17
310,2019-01-01,0.021175,neutral,3.27
311,2019-01-02,-0.03332500000000001,neutral,3.43
312,2019-01-03,0.17325000000000002,positive,-2.17
313,2019-01-04,0.08065999999999998,positive,1.57
314,2019-01-05,0.1650521739130435,positive,0.07
315,2019-01-06,0.02467692307692308,neutral,2.3
316,2019-01-07,0.08232,positive,-1.5
317,2019-01-08,-0.04234,neutral,-0.3
318,2019-01-09,-0.017515,neutral,0.0
319,2019-01-10,-0.0263037037037037,neutral,-9.37
320,2019-01-11,-0.0396,neutral,-0.13
321,2019-01-12,0.14435294117647057,positive,-0.37
322,2019-01-13,0.33334545454545456,positive,-3.7
323,2019-01-14,-0.001857894736842108,neutral,4.67
324,2019-01-15,-0.12974999999999998,negative,-3.1
325,2019-01-16,-0.1001913043478261,negative,0.93
326,2019-01-17,0.094265,positive,0.33
327,2019-01-18,-0.07645172413793103,negative,-1.07
328,2019-01-19,0.042477777777777774,neutral,1.63
329,2019-01-20,-0.11843333333333333,negative,-2.97
330,2019-01-21,0.05080869565217392,positive,-0.63
331,2019-01-22,0.12980625,positive,1.1
332,2019-01-23,0.09532631578947369,positive,-0.73
333,2019-01-24,0.01088571428571429,neutral,0.23
334,2019-01-25,0.04099615384615384,neutral,-0.6
335,2019-01-26,0.13641,positive,0.13
336,2019-01-27,-0.06039285714285714,negative,-1.43
337,2019-01-28,0.07865833333333334,positive,-2.77
338,2019-01-29,0.054786363636363626,positive,-0.97
339,2019-01-30,0.056509090909090905,positive,1.6
340,2019-01-31,0.10047407407407408,positive,-0.73
341,2019-02-01,0.15000526315789472,positive,0.13
342,2019-02-02,0.026242857142857148,neutral,1.3
343,2019-02-03,-0.12123076923076924,negative,-1.43
344,2019-02-04,0.094015,positive,0.07
345,2019-02-05,-0.014640909090909095,neutral,0.2
346,2019-02-06,0.120465,positive,-1.6
347,2019-02-07,-0.054068421052631585,negative,0.0
348,2019-02-08,-0.07156,negative,6.5
349,2019-02-09,-0.005709090909090911,neutral,0.03
350,2019-02-10,0.11750000000000001,positive,1.8
351,2019-02-11,0.01565555555555555,neutral,-1.8
352,2019-02-12,0.0372388888888889,neutral,0.43
353,2019-02-13,-0.007937931034482749,neutral,-0.1
354,2019-02-14,0.06672272727272728,positive,-0.57
355,2019-02-15,-0.061829999999999996,negative,0.3
356,2019-02-16,0.04526818181818182,neutral,0.53
357,2019-02-17,0.26533636363636365,positive,2.77
358,2019-02-18,0.08086363636363636,positive,5.03
359,2019-02-19,0.044585,neutral,-0.23
360,2019-02-20,-0.012168421052631573,neutral,1.57
361,2019-02-21,0.13802380952380952,positive,-1.1
362,2019-02-22,0.09425909090909092,positive,1.07
363,2019-02-23,0.10487333333333333,positive,3.67
364,2019-02-24,0.04245333333333333,neutral,-10.13
365,2019-02-25,0.030905000000000005,neutral,2.23
366,2019-02-26,0.107715,positive,-0.63
367,2019-02-27,0.031385,neutral,-0.3
368,2019-02-28,-0.05743333333333333,negative,0.03
369,2019-03-01,-0.05254210526315789,negative,0.27
370,2019-03-02,0.07068749999999999,positive,-0.67
371,2019-03-03,-0.019730769230769225,neutral,-0.97
372,2019-03-04,0.027654999999999996,neutral,-1.87
373,2019-03-05,-0.0012090909090909133,neutral,3.9
374,2019-03-06,0.09892272727272727,positive,0.3
375,2019-03-07,-0.016484210526315785,neutral,-0.1
376,2019-03-08,-0.043769999999999996,neutral,-1.0
377,2019-03-09,-0.12597142857142857,negative,1.43
378,2019-03-10,0.06669411764705882,positive,-0.67
379,2019-03-11,0.045340000000000005,neutral,-0.93
380,2019-03-12,0.002400000000000005,neutral,0.13
381,2019-03-13,0.0018842105263157953,neutral,-0.4
382,2019-03-14,-0.049395454545454534,neutral,0.13
383,2019-03-15,0.10540000000000001,positive,1.47
384,2019-03-16,0.03014736842105264,neutral,1.77
385,2019-03-17,-0.10852857142857143,negative,-0.77
386,2019-03-18,0.1043,positive,-0.2
387,2019-03-19,0.186085,positive,0.57
388,2019-03-20,0.058411111111111115,positive,0.4
389,2019-03-21,-0.029823809523809527,neutral,-1.5
390,2019-03-22,0.07647777777777777,positive,0.3
391,2019-03-23,-0.00010625000000000218,neutral,0.17
392,2019-03-24,0.10676250000000001,positive,-0.3
393,2019-03-25,-0.1549952380952381,negative,-1.33
394,2019-03-26,-0.035281818181818185,neutral,0.27
395,2019-03-27,0.03715789473684211,neutral,2.27
396,2019-03-28,0.0854904761904762,positive,-0.5
397,2019-03-29,0.14492083333333333,positive,1.97
398,2019-03-30,-0.044833333333333336,neutral,-0.17
399,2019-03-31,0.03087333333333333,neutral,-0.23
400,2019-04-01,0.08731304347826087,positive,0.23
401,2019-04-02,0.087615,positive,10.07
402,2019-04-03,0.2403272727272727,positive,-0.23
403,2019-04-04,-0.06057,negative,-1.23
404,2019-04-05,0.04311,neutral,2.53
405,2019-04-06,0.014613333333333332,neutral,0.03
406,2019-04-07,-0.06760952380952381,negative,2.63
407,2019-04-08,-0.043190476190476196,neutral,1.77
408,2019-04-09,0.043042105263157895,neutral,-1.67
409,2019-04-10,0.039950000000000006,neutral,1.3
410,2019-04-11,0.14593333333333333,positive,-4.57
411,2019-04-12,0.02683157894736842,neutral,0.17
412,2019-04-13,-0.021916666666666657,neutral,-0.2
413,2019-04-14,0.17730714285714286,positive,1.47
414,2019-04-15,0.051268,positive,-2.37
415,2019-04-16,0.08044761904761905,positive,2.23
416,2019-04-17,0.06049545454545453,positive,0.27
417,2019-04-18,0.07979259259259258,positive,1.83
418,2019-04-19,-0.038775,neutral,-0.1
419,2019-04-20,-0.18262857142857142,negative,0.13
420,2019-04-21,0.08534117647058824,positive,-0.9
421,2019-04-22,-0.014240740740740745,neutral,1.0
422,2019-04-23,0.05826818181818182,positive,0.7
423,2019-04-24,0.08753999999999999,positive,-1.6
424,2019-04-25,-0.04070833333333333,neutral,-4.77
425,2019-04-26,-0.0025350000000000012,neutral,0.37
426,2019-04-27,-0.013508333333333336,neutral,0.47
427,2019-04-28,-0.1642823529411765,negative,-0.57
428,2019-04-29,0.12027777777777778,positive,-0.2
429,2019-04-30,0.013120000000000007,neutral,2.3
430,2019-05-01,0.04784000000000001,neutral,0.07
431,2019-05-02,-0.007172222222222222,neutral,0.37
432,2019-05-03,0.0013263157894736841,neutral,2.97
433,2019-05-04,-0.05412,negative,-0.1
434,2019-05-05,0.019988888888888882,neutral,-0.37
435,2019-05-06,-0.07394545454545455,negative,1.67
436,2019-05-07,-0.03696363636363636,neutral,-0.4
437,2019-05-08,0.013962068965517235,neutral,1.67
438,2019-05-09,-0.051213636363636364,negative,1.13
439,2019-05-10,0.11613333333333332,positive,1.5
440,2019-05-11,0.012086666666666667,neutral,7.5
441,2019-05-12,-0.11219090909090909,negative,-1.9
442,2019-05-13,0.21303636363636363,positive,5.13
443,2019-05-14,0.1038142857142857,positive,3.67
444,2019-05-15,0.06047,positive,5.23
445,2019-05-16,0.002761904761904762,neutral,0.47
446,2019-05-17,0.0855909090909091,positive,-4.77
447,2019-05-18,-0.020281249999999994,neutral,-2.07
448,2019-05-19,0.04080555555555557,neutral,7.07
449,2019-05-20,-0.0005250000000000116,neutral,-1.87
450,2019-05-21,0.023633333333333333,neutral,0.2
451,2019-05-22,0.024704166666666662,neutral,-3.07
452,2019-05-23,0.1248318181818182,positive,1.3
453,2019-05-24,0.08992380952380952,positive,1.17
454,2019-05-25,0.12636363636363634,positive,0.57
455,2019-05-26,-0.06913888888888889,negative,4.5
456,2019-05-27,0.021529999999999997,neutral,0.57
457,2019-05-28,-0.020941666666666664,neutral,-0.1
458,2019-05-29,0.04456666666666667,neutral,-0.73
459,2019-05-30,0.018645454545454545,neutral,-3.17
460,2019-05-31,0.033525925925925924,neutral,2.6
461,2019-06-01,0.1071,positive,-0.3
462,2019-06-02,0.04671818181818182,neutral,1.13
463,2019-06-03,-0.04840499999999999,neutral,-5.1
464,2019-06-04,-0.00735555555555556,neutral,-3.13
465,2019-06-05,0.028715,neutral,1.2
466,2019-06-06,-0.019479310344827586,neutral,0.53
467,2019-06-07,0.03987142857142857,neutral,0.87
468,2019-06-08,-0.058427272727272724,negative,-0.97
